=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.03 09:08:06 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.10 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.12 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.04
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.10 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.12 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.30 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.03
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.10 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.10 0.05
 
0.28 0.11 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.27 0.10 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.12 0.05
 
0.29 0.11 0.07
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.30 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.13 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.06
 
0.29 0.10 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.30 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.10 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.10 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.30 0.11 0.05
 
0.28 0.11 0.03
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.30 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.03
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.06
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.30 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.06
 
0.28 0.11 0.05
 
0.30 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.03
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.29 0.09 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.10 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.30 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.04
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.28 0.11 0.05
 
0.30 0.10 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.12 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.06
 
0.28 0.11 0.04
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.13 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.06
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.10 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.12 0.06
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.10 0.04
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.06
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.10 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.12 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.30 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.04
 
0.28 0.12 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.10 0.04
 
0.29 0.11 0.05
 
0.29 0.13 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.30 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.30 0.13 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.09 0.03
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.27 0.10 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.06
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.30 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.12 0.05
 
0.29 0.09 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.27 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.04
 
0.30 0.12 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.04
 
0.28 0.11 0.04
 
0.28 0.10 0.03
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.30 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.10 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.13 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.04
 
0.29 0.12 0.05
 
0.29 0.10 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.03
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.30 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.13 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.27 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.12 0.06
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.30 0.12 0.05
 
0.29 0.11 0.06
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.06
 
0.29 0.12 0.05
 
0.29 0.12 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.06
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.30 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.06
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.10 0.03
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.06
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.29 0.10 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.30 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.10 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.30 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.30 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.12 0.05
 
0.28 0.12 0.04
 
0.28 0.11 0.03
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.06
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.27 0.10 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.13 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.12 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.10 0.04
 
0.28 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.12 0.05
 
0.29 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.06
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.09 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.10 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.03
 
0.29 0.11 0.05
 
0.29 0.11 0.06
 
0.28 0.10 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.03
 
0.28 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.12 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.10 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.06
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.13 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.30 0.13 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.09 0.03
 
0.28 0.11 0.04
 
0.28 0.12 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.06
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.28 0.11 0.03
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.06
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.10 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.28 0.13 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.04
 
0.29 0.11 0.04
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.30 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.12 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.28 0.11 0.05
 
0.29 0.11 0.05
 
0.28 0.12 0.04
 
0.28 0.10 0.04
 
0.28 0.11 0.05
 
0.28 0.11 0.04
 
0.29 0.11 0.05
 
0.29 0.11 0.05
 
